Abbesses
Alésia
Alexandre-Dumas
Alma-Marceau
Anatole-France
Anvers
Argentine
Arts-et-Métiers
Asnieres-Gennevilliers Les Courtilles
Assemblée Nationale
Aubervilliers Pantin
Avenue Emile-Zola
Avron
Balard
Barbès-Rochechouart
Basilique de Saint-Denis
Bastille
Bel-Air
Belleville
Bérault
Bercy
Bibliotheque-Francois Mitterrand
Billancourt
Bir-Hakeim
Blanche
Bobigny-Pablo-Picasso
Bobigny-Pantin
Boissière
Bolivar
Bonne Nouvelle
Botzaris
Boucicaut
Boulogne
Boulogne
Bourse
Bréguet-Sabin
Brochant
Buttes-Chaumont
Buzenval
Cadet
Cambronne
Campo-Formio
Cardinal-Lemoine
Carrefour-Pleyel
Censier-Daubenton
Champs-Elysées
Chardon-Lagache
Charenton-Ecoles
Charles de Gaulle-Etoile
Charles Michels
Charonne
Château d'Eau
Château de Vincennes
Château Landon
Château Rouge
Châtelet
Châtillon Montrouge
Chaussée d'Antin
Chemin Vert
Chevaleret
Cité
Cluny-La Sorbonne
Colonel Fabien
Commerce
Concorde
Convention
Corentin-Cariou
Corentin-Celton
Corvisart
Courcelles
Couronnes
Cour Saint-Emilion
Créteil-L'Echat 
Créteil-Préfecture
Créteil-Université
Crimée
Croix-de-Chavaux 
Danube
Daumesnil (Félix Eboué)
Denfert-Rochereau
Dugommier
Dupleix
Duroc
Ecole Militaire
Ecole Vétérinaire de Maisons-Alfort
Edgar-Quinet
Eglise d'Auteuil
Eglise de Pantin
Esplanade de la Défense
Etienne Marcel
Europe
Exelmans
Faidherbe-Chaligny
Falguière
Félix Faure
Filles du Calvaire
Fort d'Aubervilliers
Franklin-Roosevelt
Front Populaire
Funiculaire Gare basse
Funiculaire Gare haute
Gabriel-Péri
Gaité
Gallieni (Parc de Bagnolet)
Gambetta
Gare d'Austerlitz
Gare de l'Est (Verdun)
Gare de Lyon
Gare du Nord
Garibaldi
George V
Glacière
Goncourt
Grands Boulevards
Guy-Môquet
Havre-Caumartin
Hoche
Hôtel de Ville
Iéna
Invalides
Jacques-Bonsergent
Jasmin
Jaurès
Javel-André-Citroen
Jourdain
Jules Joffrin
Jussieu
Kléber
La Chapelle
La Courneuve-8-Mai-1945
La Défense
La Fourche
Lamarck-Caulaincourt
La Motte-Picquet-Grenelle
La Muette
La Tour-Maubourg
Laumière
Ledru-Rollin
Le Kremlin-Bicêtre
Le Peletier
Les Agnettes
Les Gobelins
Les Halles
Les Sablons
Liberté
Liège
Louis Blanc
Louise Michel
Lourmel
Louvre-Rivoli
Mabillon
Madeleine
Mairie de Clichy
Mairie de Montreuil
Mairie de Montrouge
Mairie de Saint-Ouen
Mairie des Lilas
Mairie d'Issy
Mairie d'Ivry
Maison Blanche
Maisons-Alfort-Les Juilliottes
Maisons-Alfort-Stade
Malakoff-Plateau de Vanves
Malakoff-Rue Etienne Dolet
Malesherbes
Maraichers
Marcadet-Poissonniers
Marcel Sembat
Marx-Dormoy
Maubert-Mutualité
Ménilmontant
Michel-Ange-Auteuil
Michel-Ange-Molitor
Michel Bizot
Mirabeau
Miromesnil
Monceau
Montgallet
Montparnasse-Bienvenue
Mouton-Duvernet
Nation
Nationale
Notre-Dame de Lorette
Notre-Dame des Champs
Oberkampf
Odéon
Olympiades
Opéra
Orly-Ouest
Orly-Sud
Ourcq
Palais-Royal
Parmentier
Passy
Pasteur
Pelleport
Péreire
Père-Lachaise
Pernéty
Philippe Auguste
Picpus
Pierre et Marie Curie
Pigalle
Place de Clichy
Place des Fêtes
Place d'Italie
Place Monge
Plaisance
Pointe du Lac
Poissonnière
Pont de Levallois-Bécon
Pont de Neuilly
Pont de Sèvres
Pont Marie
Pont Neuf
Porte Dauphine
Porte d'Auteuil
Porte de Bagnolet
Porte de Champerret
Porte de Charenton
Porte de Choisy
Porte de Clichy
Porte de Clignancourt
Porte de la Chapelle
Porte de la Villette
Porte de Montreuil
Porte de Pantin
Porte de Saint-Cloud
Porte de Saint-Ouen
Porte des Lilas
Porte de Vanves
Porte de Versailles
Porte de Vincennes
Porte d'Italie
Porte d'Ivry
Porte Dorée
Porte d'Orléans
Porte Maillot
Pré-Saint-Gervais
Pyramides
Pyramides
Pyrenees
Quai de la Gare
Quai de la Rapée
Quatre Septembre
Rambuteau
Ranelagh
Raspail
Réaumur-Sébastopol
Rennes
République
Reuilly-Diderot
Richard-Lenoir
Richelieu-Drouot
Riquet
Robespierre
Rome
Rue de la Pompe 
Rue des Boulets
Rue du Bac
Rue Saint-Maur
Saint-Ambroise
Saint-Augustin
Saint-Denis-Porte de Paris
Saint-Denis-Universite
Saint-Fargeau
Saint-Francois-Xavier
Saint-Georges
Saint-Germain des Prés
Saint-Jacques
Saint-Lazare
Saint-Mandé
Saint-Marcel
Saint-Michel
Saint-Paul
Saint-Philippe du Roule
Saint-Placide
Saint-Sébastien-Froissart
Saint-Sulpice
Ségur
Sentier
Sèvres-Babylone
Sèvres-Lecourbe
Simplon
Solférino
Stalingrad
Strasbourg-Saint-Denis
Sully-Morland
Telegraphe
Temple
Ternes
Tolbiac
Trinité-d'Estienne d'Orves
Trocadéro
Tuileries
Vaneau
Varenne
Vaugirard 
Vavin
Victor Hugo
Villejuif-Léo Lagrange
Villejuif-Louis Aragon
Villejuif-Paul Vaillant Couturier
Villiers
Volontaires
Voltaire
Wagram
